UF Residência;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Total
TOTAL;1000;17000;42000;135000;534000;1000;2000;4000;6000;8000;11000;14000;16000;18000;20000;23000;25000;28000;26000;36497;34936;39467;38287;38569;38430;37792;38865;41445;41451;41079;43098;42823;43666;42421;41323;39696;38893;38501;38288;30562;35424;36753;0
Rondônia;0;0;0;0;0;0;3000;3000;2000;7000;3000;19000;17000;43000;56000;52000;68000;90000;76000;140000;156000;200000;212000;211000;239000;294000;307000;297000;284000;311000;378000;383000;453000;425000;370000;330000;376000;337000;324000;277000;349000;377000;7469
Acre;0;0;0;0;0;0;3000;2000;4000;2000;7000;5000;7000;8000;1000;6000;10000;17000;24000;26000;30000;47000;32000;58000;57000;35000;64000;63000;37000;62000;73000;68000;67000;72000;58000;69000;72000;104000;77000;47000;104000;118000;1536
Amazonas;0;0;0;0;0;2000;4000;10000;16000;24000;39000;53000;60000;84000;87000;114000;167000;214000;272000;303000;362000;444000;408000;556000;625000;680000;709000;949000;1137;1167;1108;1101;1414;1544;1214;1204;1080;1188;1422;1193;1678;1398;24030
Roraima;0;0;0;0;0;0;1000;1000;7000;6000;13000;6000;5000;7000;8000;18000;15000;20000;24000;56000;54000;37000;99000;111000;72000;76000;121000;165000;153000;169000;148000;137000;159000;146000;158000;183000;187000;242000;243000;133000;188000;231000;3399
Pará;0;0;0;1000;1000;3000;9000;20000;31000;35000;63000;86000;116000;147000;177000;223000;240000;283000;285000;342000;528000;623000;693000;990000;922000;926000;1119;1407;1393;1511;1404;1533;1877;1977;2191;2274;1993;2298;2399;1671;2135;2332;36258
Amapá;0;0;0;0;0;0;0;4000;2000;1000;3000;7000;1000;6000;15000;20000;29000;24000;33000;33000;43000;85000;51000;74000;84000;92000;116000;114000;117000;130000;164000;162000;203000;185000;146000;226000;244000;221000;196000;168000;217000;223000;3439
Tocantins;0;0;0;0;0;0;1000;0;0;6000;8000;6000;13000;18000;21000;25000;32000;47000;48000;61000;64000;85000;87000;103000;83000;118000;91000;133000;158000;148000;193000;202000;260000;220000;230000;203000;250000;231000;175000;168000;221000;230000;3939
Maranhão;0;0;0;0;6000;2000;8000;11000;28000;57000;68000;80000;109000;124000;143000;188000;194000;275000;264000;342000;354000;403000;495000;729000;697000;733000;794000;879000;1069;1092;1255;1220;1400;1370;1522;1403;1496;1416;1300;905000;1122;1333;24886
Piauí;0;0;0;0;0;2000;9000;14000;12000;20000;33000;28000;29000;66000;76000;76000;93000;97000;107000;172000;161000;190000;194000;333000;343000;270000;321000;340000;406000;386000;375000;481000;490000;490000;414000;423000;419000;393000;444000;334000;412000;441000;8894
Ceará;0;1000;2000;0;6000;9000;13000;30000;56000;70000;128000;172000;180000;214000;287000;301000;361000;605000;541000;568000;634000;756000;815000;974000;837000;855000;1115;1124;1181;1128;1219;1377;1310;1328;1378;1342;1276;1363;1403;1079;1137;1300;28475
Rio Grande do Norte;0;0;1000;1000;0;3000;14000;10000;21000;28000;51000;32000;70000;89000;72000;103000;133000;171000;130000;181000;173000;174000;205000;154000;367000;288000;359000;367000;414000;388000;431000;463000;558000;569000;503000;536000;673000;738000;612000;481000;587000;609000;10759
Paraíba;0;0;0;0;6000;3000;13000;11000;18000;44000;62000;63000;89000;112000;117000;122000;148000;185000;235000;246000;244000;309000;299000;363000;361000;340000;370000;407000;426000;443000;448000;500000;484000;526000;565000;454000;558000;565000;608000;478000;485000;512000;11219
Pernambuco;0;0;2000;2000;8000;15000;67000;90000;165000;180000;222000;255000;311000;348000;393000;554000;582000;751000;663000;797000;936000;1235;1158;1308;1698;1509;1617;1673;1608;1841;1791;1976;2055;2014;1883;1924;1866;1889;1853;1419;1626;1549;41833
Alagoas;0;0;0;0;0;0;0;0;0;31000;36000;58000;73000;73000;82000;104000;134000;110000;132000;156000;219000;234000;261000;227000;297000;269000;325000;410000;389000;395000;451000;451000;450000;454000;449000;509000;620000;601000;565000;521000;607000;617000;10310
Sergipe;0;0;0;0;0;0;8000;17000;15000;19000;25000;44000;47000;79000;81000;78000;103000;97000;104000;115000;94000;128000;162000;162000;184000;198000;237000;318000;267000;282000;320000;273000;327000;313000;393000;375000;368000;402000;374000;381000;437000;414000;7241
